"","id","name","rating","review_count","price","latitude","longitude","address1","city","state","distance"
"1","taco-bell-berkeley-2","Taco Bell",3,58,"$",37.86771,-122.257768,"2528 Durant Ave","Berkeley","CA",1523.4077627926
"2","taco-bell-oakland-11","Taco Bell",2,72,"$",37.846993,-122.261628,"6035 Telegraph Ave","Oakland","CA",2678.24501533916
"3","taco-bell-albany-2","Taco Bell",2.5,73,"$",37.894035,-122.299968,"635 San Pablo Ave","Albany","CA",3572.44462730756
"4","taco-bell-emeryville","Taco Bell",3.5,69,"$",37.828801,-122.282298,"3839 Emery St","Emeryville","CA",4471.49768942291
"5","taco-bell-oakland-6","Taco Bell",2,134,"$",37.812225,-122.269526,"2255 Telegraph Avenue","Oakland","CA",6288.56869786068
"6","taco-bell-alameda-2","Taco Bell",3,64,"$",37.778581,-122.276365,"1900 Webster","Alameda","CA",10011.2592925136
"7","taco-bell-richmond-5","Taco Bell",1.5,31,"$",37.93844,-122.347565,"2300 Barrett Ave","Richmond","CA",10036.5572720883
"8","taco-bell-oakland-7","Taco Bell",2,66,"$",37.79376,-122.20115,"3535 35th Ave","Oakland","CA",10559.1196007007
"9","taco-bell-san-pablo","Taco Bell",3,37,"$",37.95354,-122.33286,"40 San Pablo Towne Ctr","San Pablo","CA",10718.0656177604
"10","taco-bell-oakland-3","Taco Bell",2,4,"$",37.7738821,-122.2288323,"3080 E 9th St","Oakland","CA",11309.980678088
"11","taco-bell-alameda-3","Taco Bell",3,45,"$",37.7683395,-122.233171,"2651 Blanding Ave","Alameda","CA",11700.1815346741
"12","taco-bell-moraga","Taco Bell",2.5,27,"$",37.859555864705,-122.124429979234,"410 Moraga Rd","Moraga","CA",13263.5217707416
"13","taco-bell-san-francisco","Taco Bell",2,126,"$",37.7938199,-122.39671,"7 Drumm St","San Francisco","CA",13534.8849359637
"14","taco-bell-pinole","Taco Bell",2,80,"$",37.9919562427678,-122.302921526433,"1561 Fitzgerald Dr","Pinole","CA",13931.1799855786
"15","taco-bell-oakland-18","Taco Bell",2,22,"$",37.7680228176914,-122.179036690093,"6900 Bancroft Ave","Oakland","CA",14009.8819490147
"16","taco-bell-lafayette-7","Taco Bell",3,26,"$",37.8920177431481,-122.116599082947,"3501 Mt. Diablo Blvd","Lafayette","CA",14151.0881632961
"17","taco-bell-san-francisco-22","Taco Bell",3,130,"$",37.7785906,-122.3926548,"710 3rd St","San Francisco","CA",14399.7038943836
"18","taco-bell-oakland-4","Taco Bell",2,31,"$",37.7470913083211,-122.195746001891,"630 Hegenberger Rd","Oakland","CA",15203.9390857992
"19","taco-bell-hercules","Taco Bell",2,50,"$",38.0101273074006,-122.271323777161,"1541 Sycamore Ave","Hercules","CA",15739.5749633797
"20","taco-bell-san-francisco-12","Taco Bell",2.5,36,"$",37.783,-122.419,"691 Eddy Street","San Francisco","CA",15823.643933772
"21","taco-bell-san-francisco-9","Taco Bell",2.5,116,"$",37.769877,-122.424618,"200 Duboce Avenue","San Francisco","CA",17118.5953869663
"22","taco-bell-san-francisco-10","Taco Bell",2.5,30,"$",37.738923,-122.389778,"1610 Jerrold Avenue","San Francisco","CA",17592.1429003098
"23","taco-bell-walnut-creek-8","Taco Bell",3,51,"$",37.9132482595895,-122.065238016091,"2400 N Main St","Walnut Creek","CA",19071.9557397943
"24","taco-bell-san-francisco-14","Taco Bell",2.5,29,"$",37.781267,-122.463787,"4150 Geary Boulevard","San Francisco","CA",19209.819173845
"25","taco-bell-san-leandro-3","Taco Bell",2,2,"$",37.7237396240234,-122.154640197754,"1443 E 14th St","San Leandro","CA",19273.970726285
"26","taco-bell-san-leandro-11","Taco Bell",2.5,64,"$",37.7139718117652,-122.157359749955,"797 Marina Blvd","San Leandro","CA",20066.7792016875
